NextBusGroup,BusNo,BusStopCode,Destination Description,Operator,EstimatedTimeOfArrival,DestinationCode,WheelchairAccessible,Load,Monitored,OriginCode,TypeOfBus,Right_BusStopCode,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus,WD_FirstBus,WD_LastBus,Right_Right_BusStopCode,Bus Stop Description
NextBus2,74,64009,Hougang Ctrl Int,SBST,2025-01-23 21:45:04,64009,WAB,SEA,1,11379,DD,12101,0602,2343,0623,2340,0549,2343,12101,Ngee Ann Poly
NextBus2,151,64009,Hougang Ctrl Int,SBST,2025-01-23 21:40:41,64009,WAB,SEA,1,16009,SD,12101,0642,2317,0642,2315,0611,2317,12101,Ngee Ann Poly
NextBus3,74,64009,Hougang Ctrl Int,SBST,2025-01-23 21:59:01,64009,WAB,SEA,0,11379,SD,12101,0602,2343,0623,2340,0549,2343,12101,Ngee Ann Poly
NextBus3,151,64009,Hougang Ctrl Int,SBST,2025-01-23 22:11:28,64009,WAB,SEA,0,16009,SD,12101,0642,2317,0642,2315,0611,2317,12101,Ngee Ann Poly
NextBus,52,28009,Jurong East Int,SBST,2025-01-23 21:35:07,28009,WAB,SEA,1,53009,SD,12109,0623,0023,0625,0021,0627,0022,12109,Opp Ngee Ann Poly
NextBus2,52,28009,Jurong East Int,SBST,2025-01-23 21:48:07,28009,WAB,SEA,1,53009,SD,12109,0623,0023,0625,0021,0627,0022,12109,Opp Ngee Ann Poly
NextBus3,52,28009,Jurong East Int,SBST,2025-01-23 22:04:47,28009,WAB,SEA,1,53009,DD,12109,0623,0023,0625,0021,0627,0022,12109,Opp Ngee Ann Poly
NextBus,151,16009,Kent Ridge Ter,SBST,2025-01-23 21:40:07,16009,WAB,SEA,1,64009,SD,12109,0635,2347,0634,2351,0639,2354,12109,Opp Ngee Ann Poly
NextBus2,151,16009,Kent Ridge Ter,SBST,2025-01-23 21:54:24,16009,WAB,SEA,1,64009,SD,12109,0635,2347,0634,2351,0639,2354,12109,Opp Ngee Ann Poly
NextBus3,151,16009,Kent Ridge Ter,SBST,2025-01-23 22:10:12,16009,WAB,SEA,1,64009,DD,12109,0635,2347,0634,2351,0639,2354,12109,Opp Ngee Ann Poly
NextBus,75,10009,Bt Merah Int,SMRT,2025-01-23 21:59:11,10009,WAB,SEA,1,44989,SD,12109,0548,2350,0546,2350,0552,2351,12109,Opp Ngee Ann Poly
